RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;VVD;PVV (Partij voor de Vrijheid);CDA;Democraten 66 (D66);GROENLINKS;SP (Socialistische Partij);Partij van de Arbeid (P.v.d.A.);ChristenUnie;Partij voor de Dieren;50PLUS;Staatkundig Gereformeerde Partij (SGP);DENK;Forum voor Democratie;VNL (VoorNederland);Piratenpartij;Artikel 1;NIEUWE WEGEN;OndernemersPartij;Lokaal in de Kamer;Niet Stemmers;De Burger Beweging;GeenPeil;JEZUS LEEFT;Vrijzinnige Partij;Libertarische Partij (LP);MenS en Spirit / Basisinkomen Partij / V-R;StemNL;Vrije Democratische Partij (VDP)	
Beuningen;G0209;10417;Nijmegen;K6;20055;16691;29;17;16645;4201;2461;2107;2010;1293;2094;814;146;345;628;23;50;263;71;44;9;21;23;13;8;6;5;4;4;1;;1;	
Beverwijk;G0375;10272;Haarlem;K10;29968;23438;60;26;23352;5187;3773;1834;2634;2232;2323;1383;279;846;1002;39;796;565;146;113;37;37;31;41;10;15;25;;4;;;;	
Binnenmaas;G0585;10222;Dordrecht;K14;22927;19620;49;28;19543;4847;2943;2706;1665;929;1278;1147;901;567;654;1169;13;463;100;48;6;37;15;11;11;10;1;11;7;4;;0;	
Bladel;G1728;11006;'s-Hertogenbosch;K18;15616;12809;16;9;12784;3309;1661;2424;1189;677;1781;448;75;261;554;22;3;217;44;24;2;12;25;31;6;7;4;;4;2;;2;	
Blaricum;G0376;10493;Haarlem;K10;7825;6939;19;6;6914;2733;609;763;917;350;301;336;121;214;187;35;47;221;22;19;3;23;3;4;3;0;0;;3;;;;	
Bloemendaal;G0377;10850;Haarlem;K10;17122;15198;27;9;15162;6038;842;1511;2742;1268;462;799;214;638;237;38;16;255;30;34;6;9;12;3;2;3;1;;2;;;;	
Bodegraven-Reeuwijk;G1901;11091;Leiden;K15;25484;22128;58;35;22035;5952;2554;3516;2056;1243;878;787;1488;386;525;1772;247;394;81;60;3;23;20;;7;12;5;21;2;2;;1;	
Boekel;G0755;10432;'s-Hertogenbosch;K18;7994;6501;10;17;6474;1585;862;1563;562;256;969;179;26;111;170;8;2;89;28;21;2;4;12;4;3;13;0;;2;1;;2;	
Bonaire;O9001;10084;Bonaire;K20;11955;2631;39;51;2541;397;122;413;727;222;77;209;92;113;41;12;16;39;13;;38;6;4;;;;;;;;;;	
Borger-Odoorn;G1681;10448;Assen;K3;20557;16999;22;14;16963;3280;2520;2197;1524;1087;2434;1490;652;469;612;124;0;338;57;47;;22;25;46;;22;7;;6;4;;;	
